code,display_name,price,high,low
300133.XSHE,华策影视,6.1,10.0,5.6
002635.XSHE,安洁科技,15.4,32.4,14.3
300085.XSHE,银之杰,15.9,30.0,13.8
002310.XSHE,东方园林,4.2,6.7,3.7
600604.XSHG,市北高新,6.0,11.4,5.1
600635.XSHG,大众公用,3.9,5.6,3.4
002396.XSHE,星网锐捷,20.1,49.5,19.4
002123.XSHE,梦网科技,15.0,24.3,13.0
600037.XSHG,歌华有线,8.9,16.0,7.9
688106.XSHG,金宏气体,25.6,59.4,23.3
600195.XSHG,中牧股份,12.3,20.8,11.9
600864.XSHG,哈投股份,6.0,9.5,5.5
300346.XSHE,南大光电,31.0,52.2,27.8
300348.XSHE,长亮科技,18.0,28.2,15.9
000555.XSHE,神州信息,14.7,21.2,12.6
600373.XSHG,中文传媒,10.7,18.1,9.1
002268.XSHE,卫士通,17.9,33.0,15.5
000016.XSHE,深康佳A,6.3,13.5,5.7
002675.XSHE,东诚药业,19.0,29.6,18.0
601333.XSHG,广深铁路,2.2,3.2,2.0
300058.XSHE,蓝色光标,6.4,9.9,5.5
603927.XSHG,中科软,38.1,108.0,32.6
601869.XSHG,长飞光纤,23.4,43.5,21.4
000028.XSHE,国药一致,42.2,58.0,36.7
603000.XSHG,人民网,16.7,26.7,16.1
688520.XSHG,神州细胞,42.9,104.0,40.2
600764.XSHG,中国海防,27.1,48.0,25.2
002745.XSHE,木林森,13.4,19.4,11.9
300009.XSHE,安科生物,14.9,22.4,13.3
601375.XSHG,中原证券,4.5,8.5,4.3
600498.XSHG,烽火通信,18.6,41.5,17.9
002151.XSHE,北斗星通,43.5,84.6,40.1
002465.XSHE,海格通信,10.1,16.0,8.7
000998.XSHE,隆平高科,17.9,24.9,16.0
002463.XSHE,沪电股份,17.1,31.2,15.9
002797.XSHE,第一创业,7.8,12.6,7.4
002945.XSHE,华林证券,12.1,18.7,11.8
002507.XSHE,涪陵榨菜,42.2,56.2,36.3
688065.XSHG,凯赛生物,81.0,198.0,74.5
002939.XSHE,长城证券,10.9,17.4,10.7
300251.XSHE,光线传媒,11.8,18.0,10.7
600482.XSHG,中国动力,16.9,25.1,15.6
600521.XSHG,华海药业,25.0,45.7,24.3
600109.XSHG,国金证券,13.2,19.5,11.8
600655.XSHG,豫园股份,11.0,15.2,9.8
603019.XSHG,中科曙光,29.9,54.0,28.1
000938.XSHE,紫光股份,20.2,37.8,18.9
300033.XSHE,同花顺,122.8,186.2,113.0
601881.XSHG,中国银河,10.4,16.9,10.1
601138.XSHG,工业富联,14.2,20.7,12.3
