,code,display_name,price,high,low
0,600633.XSHG,浙数文化,7.77,12.8,6.84
1,600783.XSHG,鲁信创投,13.86,20.2,13.19
2,300166.XSHE,东方国信,9.85,20.82,8.65
3,000537.XSHE,广宇发展,5.8,8.86,5.21
4,600635.XSHG,大众公用,3.73,5.58,3.37
5,601811.XSHG,新华文轩,8.98,14.93,8.11
6,002310.XSHE,东方园林,4.15,6.68,3.66
7,600657.XSHG,信达地产,3.97,5.93,3.66
8,002815.XSHE,崇达技术,12.87,24.88,11.58
9,600643.XSHG,爱建集团,7.11,10.38,6.45
10,600729.XSHG,重庆百货,29.04,38.69,25.71
11,688318.XSHG,财富趋势,177.77,426.9,162.21
12,601330.XSHG,绿色动力,8.52,13.84,7.62
13,002950.XSHE,奥美医疗,19.29,39.86,18.66
14,600007.XSHG,中国国贸,12.16,17.88,11.08
15,002396.XSHE,星网锐捷,21.3,49.55,19.43
16,002498.XSHE,汉缆股份,3.75,6.9,3.26
17,002085.XSHE,万丰奥威,5.78,8.33,5.17
18,000887.XSHE,中鼎股份,10.45,14.69,9.46
19,300118.XSHE,东方日升,14.22,31.99,13.01
20,600211.XSHG,西藏药业,51.84,182.07,48.9
21,300026.XSHE,红日药业,4.29,8.28,3.74
22,600273.XSHG,嘉化能源,9.01,13.89,7.93
23,002287.XSHE,奇正藏药,24.44,45.23,23.03
24,000088.XSHE,盐田港,5.78,10.26,5.16
25,601827.XSHG,三峰环境,7.76,11.99,6.83
26,000519.XSHE,中兵红箭,9.38,13.25,8.45
27,002755.XSHE,奥赛康,14.13,22.28,12.25
28,002368.XSHE,太极股份,22.92,38.8,20.45
29,600446.XSHG,金证股份,15.6,26.82,14.22
30,300770.XSHE,新媒股份,58.72,142.5,53.88
31,600373.XSHG,中文传媒,10.09,18.05,9.08
32,600639.XSHG,浦东金桥,12.19,17.43,10.93
33,600246.XSHG,万通发展,6.75,10.43,6.1
34,002273.XSHE,水晶光电,11.45,20.94,10.24
35,002975.XSHE,博杰股份,100.8,136.0,88.93
36,601512.XSHG,中新集团,9.43,16.53,8.78
37,002262.XSHE,恩华药业,14.27,20.88,13.44
38,600376.XSHG,首开股份,5.63,8.54,5.43
39,002481.XSHE,双塔食品,12.3,20.12,11.8
40,300188.XSHE,美亚柏科,19.05,25.94,17.1
41,000156.XSHE,华数传媒,8.69,13.08,7.84
42,600765.XSHG,中航重机,18.03,26.0,17.21
43,605009.XSHG,豪悦护理,158.89,245.88,146.46
44,600823.XSHG,世茂股份,4.54,7.4,4.23
45,002281.XSHE,光迅科技,24.46,37.97,23.04
46,601778.XSHG,晶科科技,6.42,10.52,5.65
47,601869.XSHG,长飞光纤,24.31,43.52,21.37
48,600566.XSHG,济川药业,20.9,29.67,18.4
49,600621.XSHG,华鑫股份,17.71,28.66,16.71
50,600155.XSHG,华创阳安,10.94,16.34,10.61
51,000540.XSHE,中天金融,2.85,5.3,2.59
52,300088.XSHE,长信科技,8.34,14.0,7.37
53,000401.XSHE,冀东水泥,15.29,21.49,13.4
54,600764.XSHG,中国海防,29.0,47.97,25.17
55,600675.XSHG,中华企业,3.39,5.14,3.15
56,600535.XSHG,天士力,13.93,19.97,13.08
57,002901.XSHE,大博医疗,53.1,119.74,51.72
58,600271.XSHG,航天信息,11.57,25.55,10.26
59,600498.XSHG,烽火通信,19.34,41.46,17.9
60,002465.XSHE,海格通信,9.87,15.96,8.69
61,600529.XSHG,山东药玻,40.74,76.85,35.4
62,600167.XSHG,联美控股,10.76,16.03,9.51
63,603228.XSHG,景旺电子,29.04,40.6,25.53
64,002065.XSHE,东华软件,7.98,17.55,6.91
65,600380.XSHG,健康元,12.93,22.47,11.38
66,000999.XSHE,华润三九,26.23,38.91,24.43
67,600895.XSHG,张江高科,17.19,24.49,16.0
68,002373.XSHE,千方科技,17.09,30.78,15.72
69,002223.XSHE,鱼跃医疗,27.09,41.4,25.42
70,002603.XSHE,以岭药业,23.02,41.39,22.18
71,001872.XSHE,招商港口,14.7,20.96,13.6
72,002146.XSHE,荣盛发展,6.56,9.7,5.95
73,300741.XSHE,华宝股份,46.45,75.0,45.12
74,601866.XSHG,中远海发,2.59,3.44,2.29
75,600598.XSHG,北大荒,16.96,22.88,15.2
76,600026.XSHG,中远海能,6.52,9.7,6.02
77,002463.XSHE,沪电股份,18.23,31.25,15.88
78,000513.XSHE,丽珠集团,37.65,62.2,34.78
79,000656.XSHE,金科股份,7.16,11.27,6.51
80,600655.XSHG,豫园股份,10.22,15.25,9.82
81,600848.XSHG,上海临港,19.18,29.12,17.8
82,000785.XSHE,居然之家,7.17,12.37,6.45
83,002624.XSHE,完美世界,25.04,43.16,22.29
84,002157.XSHE,正邦科技,16.36,26.68,15.31
85,002252.XSHE,上海莱士,7.8,11.15,7.1
86,603160.XSHG,汇顶科技,142.08,386.63,123.47
87,601933.XSHG,永辉超市,7.18,11.05,6.78
88,000617.XSHE,中油资本,6.51,9.74,6.07
89,002938.XSHE,鹏鼎控股,43.04,61.57,37.54
90,001979.XSHE,招商蛇口,12.72,20.19,11.42
91,601360.XSHG,三六零,15.64,29.39,14.91
92,300498.XSHE,温氏股份,18.6,33.48,16.56
93,600050.XSHG,中国联通,4.43,6.88,4.01
94,003816.XSHE,中国广核,2.81,5.12,2.6
95,601816.XSHG,京沪高铁,5.73,8.16,5.12
96,601857.XSHG,中国石油,4.42,6.26,4.04
