code,display_name,price,high,low
300180.XSHE,华峰超纤,5.7,11.3,5.0
603379.XSHG,三美股份,16.4,34.9,14.9
688568.XSHG,中科星图,45.5,108.0,41.3
002583.XSHE,海能达,5.5,11.4,5.0
300206.XSHE,理邦仪器,17.4,27.9,14.0
000970.XSHE,中科三环,9.6,14.3,8.6
603916.XSHG,苏博特,29.3,37.5,21.5
688588.XSHG,凌志软件,25.8,54.6,18.5
002091.XSHE,江苏国泰,6.6,8.7,5.0
002036.XSHE,联创电子,9.9,16.5,9.1
600496.XSHG,精工钢构,5.2,7.4,4.3
002419.XSHE,天虹股份,8.7,13.5,6.6
002038.XSHE,双鹭药业,10.2,15.9,8.4
600596.XSHG,新安股份,12.8,16.8,10.0
002048.XSHE,宁波华翔,16.8,26.8,13.7
000681.XSHE,视觉中国,15.0,24.6,11.9
000828.XSHE,东莞控股,10.2,16.9,8.2
002375.XSHE,亚厦股份,7.9,16.7,6.6
002635.XSHE,安洁科技,15.1,32.4,14.3
000537.XSHE,广宇发展,5.7,8.9,5.2
002285.XSHE,世联行,5.2,7.5,3.8
000048.XSHE,京基智农,26.5,43.8,21.1
002815.XSHE,崇达技术,12.2,24.9,11.6
002434.XSHE,万里扬,8.0,12.3,6.9
600171.XSHG,上海贝岭,15.4,23.4,13.4
002424.XSHE,贵州百灵,7.7,11.8,6.7
002803.XSHE,吉宏股份,29.1,49.3,27.6
603609.XSHG,禾丰股份,12.0,19.1,11.4
600604.XSHG,市北高新,6.0,15.5,5.1
000789.XSHE,万年青,14.1,20.7,11.2
002993.XSHE,奥海科技,62.0,112.7,47.0
002243.XSHE,力合科创,9.3,19.7,8.6
600903.XSHG,贵州燃气,9.9,17.1,8.7
688100.XSHG,威胜信息,22.7,40.1,19.1
300132.XSHE,青松股份,22.0,27.5,16.2
600720.XSHG,祁连山,14.7,22.5,12.1
300755.XSHE,华致酒行,27.6,37.7,21.8
688095.XSHG,福昕软件,241.8,373.0,212.2
600984.XSHG,建设机械,12.1,32.0,9.6
000034.XSHE,神州数码,17.7,36.7,16.4
600158.XSHG,中体产业,12.2,17.7,10.1
