code,display_name,price,high,low
002038.XSHE,双鹭药业,9.7,18.3,8.4
300860.XSHE,锋尚文化,138.5,242.0,111.1
600171.XSHG,上海贝岭,14.3,23.4,13.4
000061.XSHE,农产品,6.1,10.0,5.2
000970.XSHE,中科三环,9.4,14.3,8.6
000828.XSHE,东莞控股,10.0,16.9,8.2
603916.XSHG,苏博特,29.1,37.5,21.5
002993.XSHE,奥海科技,59.6,112.7,47.0
002583.XSHE,海能达,5.7,11.7,5.0
000681.XSHE,视觉中国,15.3,24.6,11.9
600596.XSHG,新安股份,12.2,16.8,10.0
688007.XSHG,光峰科技,23.4,59.8,17.1
002036.XSHE,联创电子,10.0,16.5,9.1
002174.XSHE,游族网络,12.8,32.2,9.5
000789.XSHE,万年青,13.2,20.7,11.2
002302.XSHE,西部建设,8.4,16.4,7.8
002091.XSHE,江苏国泰,6.8,8.7,5.0
000537.XSHE,广宇发展,5.8,9.1,5.2
688100.XSHG,威胜信息,21.9,40.1,19.1
600787.XSHG,中储股份,5.0,7.1,4.2
002419.XSHE,天虹股份,9.1,14.0,6.6
603208.XSHG,江山欧派,105.7,158.0,86.7
002424.XSHE,贵州百灵,7.5,12.7,6.7
601811.XSHG,新华文轩,9.1,14.9,8.1
603609.XSHG,禾丰牧业,12.2,19.1,11.4
600496.XSHG,精工钢构,5.3,7.4,4.3
000048.XSHE,京基智农,28.0,43.8,21.1
600720.XSHG,祁连山,14.0,22.5,12.1
600604.XSHG,市北高新,6.0,17.9,5.1
002440.XSHE,闰土股份,9.9,16.9,8.4
002243.XSHE,力合科创,9.5,22.5,8.6
688095.XSHG,福昕软件,235.4,373.0,212.2
000090.XSHE,天健集团,6.1,9.8,5.4
002048.XSHE,宁波华翔,17.9,26.8,13.7
002375.XSHE,亚厦股份,8.7,16.7,6.6
000710.XSHE,贝瑞基因,32.0,98.0,30.2
300226.XSHE,上海钢联,61.2,90.7,51.3
600185.XSHG,格力地产,5.7,18.1,5.1
605136.XSHG,丽人丽妆,29.2,55.3,23.4
002100.XSHE,天康生物,11.0,19.7,10.4
002803.XSHE,吉宏股份,30.1,49.3,27.6
002351.XSHE,漫步者,13.9,24.0,11.0
002332.XSHE,仙琚制药,12.8,18.9,10.9
601330.XSHG,绿色动力,9.8,17.7,7.6
600273.XSHG,嘉化能源,8.9,15.5,7.9
000088.XSHE,盐田港,5.8,10.3,5.2
002755.XSHE,奥赛康,14.0,22.3,12.2
600984.XSHG,建设机械,12.7,32.0,9.6
300567.XSHE,精测电子,52.7,88.0,45.9
