代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
000002.XSHE,万科A,3650.3,8354.7,21.5,279.7,5
000006.XSHE,深振业A,71.3,151.9,19.0,7.4,5
000008.XSHE,神州高铁,65.1,102.2,23.5,4.7,5
000011.XSHE,深物业A,83.3,361.0,44.1,5.1,5
000031.XSHE,大悦城,172.3,759.5,31.9,12.3,5
000034.XSHE,神州数码,113.6,743.7,106.0,4.7,5
000055.XSHE,方大集团,50.1,109.2,28.6,8.2,6
000065.XSHE,北方国际,54.7,221.8,31.4,4.9,5
000069.XSHE,华侨城A,775.1,3283.0,26.6,86.2,5
000070.XSHE,特发信息,57.9,108.5,33.6,2.3,5
000090.XSHE,天健集团,114.4,380.5,30.8,6.9,5
000301.XSHE,东方盛虹,611.1,1006.9,62.4,6.0,5
000338.XSHE,潍柴动力,1553.5,4608.8,50.6,56.8,5
000402.XSHE,金融街,202.6,476.4,13.8,29.5,5
000425.XSHE,徐工机械,603.2,5066.1,139.9,13.9,5
000429.XSHE,粤高速A,150.1,337.4,26.8,11.8,5
000501.XSHE,鄂武商A,97.6,170.5,13.9,10.6,5
000517.XSHE,荣安地产,96.2,1135.3,65.2,8.4,6
000528.XSHE,柳工,137.3,1237.5,121.6,4.4,5
000537.XSHE,广宇发展,109.5,2849.3,90.7,16.6,5
000544.XSHE,中原环保,66.7,187.5,40.4,3.2,5
000546.XSHE,金圆股份,52.5,94.3,18.7,3.6,5
000552.XSHE,靖远煤电,64.3,151.6,28.9,4.1,5
000560.XSHE,我爱我家,89.0,811.6,98.1,3.3,5
000582.XSHE,北部湾港,169.5,246.8,25.1,6.0,5
000620.XSHE,新华联,42.7,214.1,26.4,7.4,5
000627.XSHE,天茂集团,205.5,947.2,53.3,12.9,5
000631.XSHE,顺发恒业,73.7,110.9,18.2,6.2,5
000656.XSHE,金科股份,369.0,2268.9,40.0,28.5,5
000671.XSHE,阳光城,259.9,1132.4,28.2,23.5,5
000672.XSHE,上峰水泥,174.3,2613.8,112.1,9.6,5
000676.XSHE,智度股份,78.2,1156.0,186.5,4.4,5
000690.XSHE,宝新能源,150.6,433.9,23.9,7.6,6
000703.XSHE,恒逸石化,559.6,2623.1,81.9,15.6,5
000708.XSHE,中信特钢,1331.9,4382.6,72.7,21.5,6
000709.XSHE,河钢股份,250.6,1020.6,39.9,20.3,5
000726.XSHE,鲁泰A,58.7,104.6,11.0,8.2,5
000736.XSHE,中交地产,45.3,463.1,85.4,4.2,5
000789.XSHE,万年青,108.4,625.1,45.7,6.9,5
000797.XSHE,中国武夷,47.1,100.5,28.0,2.5,5
000813.XSHE,德展健康,90.3,430.0,127.6,5.5,5
